Datum,Wert,Einheit
31.07. 20:15,0.21,kW
31.07. 20:30,0.15,kW
31.07. 20:45,0.09,kW
31.07. 21:00,0.05,kW
31.07. 21:15,0.01,kW
31.07. 21:30,0.0,kW
31.07. 21:45,0.0,kW
31.07. 22:00,0.0,kW
31.07. 22:15,0.0,kW
31.07. 22:30,0.0,kW
31.07. 22:45,0.0,kW
31.07. 23:00,0.0,kW
31.07. 23:15,0.0,kW
31.07. 23:30,0.0,kW
31.07. 23:45,0.0,kW
01.08. 00:00,0.0,kW
01.08. 00:15,0.0,kW
01.08. 00:30,0.0,kW
01.08. 00:45,0.0,kW
01.08. 01:00,0.0,kW
01.08. 01:15,0.0,kW
01.08. 01:30,0.0,kW
01.08. 01:45,0.0,kW
01.08. 02:00,0.0,kW
01.08. 02:15,0.0,kW
01.08. 02:30,0.0,kW
01.08. 02:45,0.0,kW
01.08. 03:00,0.0,kW
01.08. 03:15,0.0,kW
01.08. 03:30,0.0,kW
01.08. 03:45,0.0,kW
01.08. 04:00,0.0,kW
01.08. 04:15,0.0,kW
01.08. 04:30,0.0,kW
01.08. 04:45,0.0,kW
01.08. 05:00,0.0,kW
01.08. 05:15,0.0,kW
01.08. 05:30,0.0,kW
01.08. 05:45,0.0,kW
01.08. 06:00,0.0,kW
01.08. 06:15,0.0,kW
01.08. 06:30,0.0,kW
01.08. 06:45,0.04,kW
01.08. 07:00,0.15,kW
01.08. 07:15,0.2,kW
01.08. 07:30,0.23,kW
01.08. 07:45,0.29,kW
01.08. 08:00,0.39,kW
01.08. 08:15,0.9,kW
01.08. 08:30,1.1,kW
01.08. 08:45,1.15,kW
01.08. 09:00,1.62,kW
01.08. 09:15,2.61,kW
01.08. 09:30,3.01,kW
01.08. 09:45,3.06,kW
01.08. 10:00,3.44,kW
01.08. 10:15,3.99,kW
01.08. 10:30,5.3,kW
01.08. 10:45,1.81,kW
01.08. 11:00,2.45,kW
01.08. 11:15,2.07,kW
01.08. 11:30,5.69,kW
01.08. 11:45,8.64,kW
01.08. 12:00,7.56,kW
01.08. 12:15,7.69,kW
01.08. 12:30,0.0,kW
01.08. 12:45,0.0,kW
01.08. 13:00,0.0,kW
01.08. 13:15,0.0,kW
01.08. 13:30,0.0,kW
01.08. 13:45,0.0,kW
01.08. 14:00,2.19,kW
01.08. 14:15,7.09,kW
01.08. 14:30,6.85,kW
01.08. 14:45,7.21,kW
01.08. 15:00,4.96,kW
01.08. 15:15,6.1,kW
01.08. 15:30,7.24,kW
01.08. 15:45,4.19,kW
01.08. 16:00,5.72,kW
01.08. 16:15,4.74,kW
01.08. 16:30,4.8,kW
01.08. 16:45,4.72,kW
01.08. 17:00,3.36,kW
01.08. 17:15,2.33,kW
01.08. 17:30,1.76,kW
01.08. 17:45,2.15,kW
01.08. 18:00,1.87,kW
01.08. 18:15,1.2,kW
01.08. 18:30,1.1,kW
01.08. 18:45,2.94,kW
01.08. 19:00,1.47,kW
01.08. 19:15,0.91,kW
01.08. 19:30,0.56,kW
01.08. 19:45,0.51,kW
01.08. 20:00,0.43,kW
01.08. 20:15,0.27,kW
01.08. 20:30,0.19,kW
01.08. 20:45,0.21,kW
01.08. 21:00,0.21,kW
01.08. 21:15,0.06,kW
01.08. 21:30,0.0,kW
01.08. 21:45,0.0,kW
01.08. 22:00,0.0,kW
01.08. 22:15,0.0,kW
01.08. 22:30,0.0,kW
01.08. 22:45,0.0,kW
01.08. 23:00,0.0,kW
01.08. 23:15,0.0,kW
01.08. 23:30,0.0,kW
01.08. 23:45,0.0,kW
02.08. 00:00,0.0,kW
